<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190116,234500,66940.0000000,66949.0000000,66930.0000000,66937.0000000,2316
SPFB.Si-3.19,5,20190116,235000,66937.0000000,66971.0000000,66932.0000000,66959.0000000,4794
SPFB.Si-3.19,5,20190117,100500,66950.0000000,66989.0000000,66905.0000000,66972.0000000,23998
SPFB.Si-3.19,5,20190117,101000,66974.0000000,66978.0000000,66908.0000000,66955.0000000,24439
SPFB.Si-3.19,5,20190117,101500,66954.0000000,66982.0000000,66948.0000000,66960.0000000,11503
SPFB.Si-3.19,5,20190117,102000,66958.0000000,66996.0000000,66957.0000000,66963.0000000,24846
SPFB.Si-3.19,5,20190117,102500,66963.0000000,67020.0000000,66955.0000000,67008.0000000,15687
SPFB.Si-3.19,5,20190117,103000,67008.0000000,67066.0000000,66990.0000000,67048.0000000,21802
SPFB.Si-3.19,5,20190117,103500,67047.0000000,67088.0000000,67039.0000000,67078.0000000,30529
SPFB.Si-3.19,5,20190117,104000,67079.0000000,67094.0000000,67032.0000000,67037.0000000,14558
SPFB.Si-3.19,5,20190117,104500,67038.0000000,67075.0000000,67027.0000000,67056.0000000,17966
SPFB.Si-3.19,5,20190117,105000,67055.0000000,67075.0000000,67037.0000000,67066.0000000,9893
SPFB.Si-3.19,5,20190117,105500,67069.0000000,67078.0000000,67033.0000000,67037.0000000,8156
SPFB.Si-3.19,5,20190117,110000,67036.0000000,67049.0000000,67021.0000000,67022.0000000,6394
SPFB.Si-3.19,5,20190117,110500,67022.0000000,67049.0000000,67018.0000000,67039.0000000,7453
SPFB.Si-3.19,5,20190117,111000,67038.0000000,67042.0000000,67013.0000000,67014.0000000,5263
SPFB.Si-3.19,5,20190117,111500,67014.0000000,67042.0000000,67005.0000000,67022.0000000,9785
SPFB.Si-3.19,5,20190117,112000,67021.0000000,67090.0000000,67010.0000000,67082.0000000,23848
SPFB.Si-3.19,5,20190117,112500,67084.0000000,67119.0000000,67063.0000000,67113.0000000,33593
SPFB.Si-3.19,5,20190117,113000,67114.0000000,67119.0000000,67073.0000000,67098.0000000,24769
SPFB.Si-3.19,5,20190117,113500,67097.0000000,67100.0000000,67061.0000000,67075.0000000,8695
SPFB.Si-3.19,5,20190117,114000,67076.0000000,67097.0000000,67072.0000000,67086.0000000,5468
SPFB.Si-3.19,5,20190117,114500,67089.0000000,67090.0000000,67049.0000000,67061.0000000,20649
SPFB.Si-3.19,5,20190117,115000,67060.0000000,67064.0000000,67039.0000000,67040.0000000,8676
SPFB.Si-3.19,5,20190117,115500,67043.0000000,67048.0000000,67021.0000000,67036.0000000,5484
SPFB.Si-3.19,5,20190117,120000,67036.0000000,67057.0000000,67026.0000000,67037.0000000,5660
SPFB.Si-3.19,5,20190117,120500,67038.0000000,67069.0000000,67035.0000000,67047.0000000,7164
