<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190116,182500,76837.0000000,76881.0000000,76830.0000000,76873.0000000,846
SPFB.Eu-3.19,5,20190116,183000,76872.0000000,76881.0000000,76820.0000000,76821.0000000,206
SPFB.Eu-3.19,5,20190116,183500,76821.0000000,76865.0000000,76786.0000000,76860.0000000,426
SPFB.Eu-3.19,5,20190116,184000,76867.0000000,76886.0000000,76855.0000000,76881.0000000,678
SPFB.Eu-3.19,5,20190116,184500,76883.0000000,76923.0000000,76870.0000000,76871.0000000,460
SPFB.Eu-3.19,5,20190116,191000,76820.0000000,76891.0000000,76820.0000000,76852.0000000,165
SPFB.Eu-3.19,5,20190116,191500,76846.0000000,76874.0000000,76839.0000000,76854.0000000,36
SPFB.Eu-3.19,5,20190116,192000,76854.0000000,76854.0000000,76781.0000000,76787.0000000,132
SPFB.Eu-3.19,5,20190116,192500,76780.0000000,76805.0000000,76777.0000000,76802.0000000,434
SPFB.Eu-3.19,5,20190116,193000,76825.0000000,76825.0000000,76716.0000000,76740.0000000,498
SPFB.Eu-3.19,5,20190116,193500,76742.0000000,76766.0000000,76737.0000000,76754.0000000,222
SPFB.Eu-3.19,5,20190116,194000,76743.0000000,76773.0000000,76711.0000000,76773.0000000,784
SPFB.Eu-3.19,5,20190116,194500,76779.0000000,76793.0000000,76732.0000000,76732.0000000,131
SPFB.Eu-3.19,5,20190116,195000,76712.0000000,76770.0000000,76711.0000000,76767.0000000,234
SPFB.Eu-3.19,5,20190116,195500,76767.0000000,76770.0000000,76730.0000000,76730.0000000,175
SPFB.Eu-3.19,5,20190116,200000,76720.0000000,76750.0000000,76684.0000000,76688.0000000,576
SPFB.Eu-3.19,5,20190116,200500,76686.0000000,76702.0000000,76656.0000000,76702.0000000,670
SPFB.Eu-3.19,5,20190116,201000,76707.0000000,76715.0000000,76665.0000000,76671.0000000,317
SPFB.Eu-3.19,5,20190116,201500,76671.0000000,76684.0000000,76640.0000000,76675.0000000,502
SPFB.Eu-3.19,5,20190116,202000,76679.0000000,76714.0000000,76679.0000000,76682.0000000,258
SPFB.Eu-3.19,5,20190116,202500,76675.0000000,76696.0000000,76674.0000000,76695.0000000,59
SPFB.Eu-3.19,5,20190116,203000,76705.0000000,76720.0000000,76702.0000000,76714.0000000,351
SPFB.Eu-3.19,5,20190116,203500,76695.0000000,76714.0000000,76695.0000000,76714.0000000,27
SPFB.Eu-3.19,5,20190116,204000,76679.0000000,76683.0000000,76663.0000000,76676.0000000,152
SPFB.Eu-3.19,5,20190116,204500,76672.0000000,76708.0000000,76656.0000000,76705.0000000,197
SPFB.Eu-3.19,5,20190116,205000,76701.0000000,76731.0000000,76700.0000000,76724.0000000,110
SPFB.Eu-3.19,5,20190116,205500,76712.0000000,76712.0000000,76682.0000000,76685.0000000,118
SPFB.Eu-3.19,5,20190116,210000,76685.0000000,76693.0000000,76678.0000000,76693.0000000,372
SPFB.Eu-3.19,5,20190116,210500,76693.0000000,76704.0000000,76676.0000000,76676.0000000,128
SPFB.Eu-3.19,5,20190116,211000,76686.0000000,76699.0000000,76686.0000000,76689.0000000,149
SPFB.Eu-3.19,5,20190116,211500,76695.0000000,76704.0000000,76695.0000000,76704.0000000,11
SPFB.Eu-3.19,5,20190116,212000,76700.0000000,76729.0000000,76700.0000000,76729.0000000,56
SPFB.Eu-3.19,5,20190116,212500,76727.0000000,76735.0000000,76712.0000000,76712.0000000,31
SPFB.Eu-3.19,5,20190116,213000,76717.0000000,76730.0000000,76706.0000000,76730.0000000,47
SPFB.Eu-3.19,5,20190116,213500,76729.0000000,76737.0000000,76729.0000000,76732.0000000,79
SPFB.Eu-3.19,5,20190116,214000,76737.0000000,76737.0000000,76722.0000000,76722.0000000,90
SPFB.Eu-3.19,5,20190116,214500,76722.0000000,76740.0000000,76722.0000000,76735.0000000,39
SPFB.Eu-3.19,5,20190116,215000,76732.0000000,76739.0000000,76690.0000000,76696.0000000,117
SPFB.Eu-3.19,5,20190116,215500,76696.0000000,76704.0000000,76680.0000000,76688.0000000,171
SPFB.Eu-3.19,5,20190116,220000,76684.0000000,76684.0000000,76668.0000000,76668.0000000,95
SPFB.Eu-3.19,5,20190116,220500,76670.0000000,76682.0000000,76651.0000000,76653.0000000,110
SPFB.Eu-3.19,5,20190116,221000,76653.0000000,76699.0000000,76644.0000000,76663.0000000,406
SPFB.Eu-3.19,5,20190116,221500,76647.0000000,76667.0000000,76646.0000000,76667.0000000,27
SPFB.Eu-3.19,5,20190116,222000,76669.0000000,76687.0000000,76642.0000000,76661.0000000,110
SPFB.Eu-3.19,5,20190116,222500,76641.0000000,76657.0000000,76629.0000000,76654.0000000,52
SPFB.Eu-3.19,5,20190116,223000,76654.0000000,76654.0000000,76628.0000000,76640.0000000,56
SPFB.Eu-3.19,5,20190116,223500,76640.0000000,76651.0000000,76627.0000000,76629.0000000,137
SPFB.Eu-3.19,5,20190116,224000,76632.0000000,76632.0000000,76606.0000000,76620.0000000,120
SPFB.Eu-3.19,5,20190116,224500,76635.0000000,76648.0000000,76628.0000000,76648.0000000,71
SPFB.Eu-3.19,5,20190116,225000,76653.0000000,76662.0000000,76651.0000000,76655.0000000,31
SPFB.Eu-3.19,5,20190116,225500,76653.0000000,76653.0000000,76626.0000000,76626.0000000,29
SPFB.Eu-3.19,5,20190116,230000,76633.0000000,76633.0000000,76619.0000000,76620.0000000,8
SPFB.Eu-3.19,5,20190116,230500,76625.0000000,76630.0000000,76610.0000000,76610.0000000,78
SPFB.Eu-3.19,5,20190116,231000,76623.0000000,76648.0000000,76621.0000000,76648.0000000,129
SPFB.Eu-3.19,5,20190116,231500,76665.0000000,76675.0000000,76651.0000000,76675.0000000,92
SPFB.Eu-3.19,5,20190116,232000,76671.0000000,76672.0000000,76659.0000000,76669.0000000,61
SPFB.Eu-3.19,5,20190116,232500,76663.0000000,76663.0000000,76632.0000000,76641.0000000,202
SPFB.Eu-3.19,5,20190116,233000,76640.0000000,76646.0000000,76622.0000000,76646.0000000,139
SPFB.Eu-3.19,5,20190116,233500,76640.0000000,76667.0000000,76637.0000000,76667.0000000,288
SPFB.Eu-3.19,5,20190116,234000,76666.0000000,76696.0000000,76666.0000000,76688.0000000,167
SPFB.Eu-3.19,5,20190116,234500,76689.0000000,76689.0000000,76671.0000000,76672.0000000,148
SPFB.Eu-3.19,5,20190116,235000,76682.0000000,76687.0000000,76674.0000000,76684.0000000,90
SPFB.Eu-3.19,5,20190117,100500,76674.0000000,76674.0000000,76556.0000000,76651.0000000,755
SPFB.Eu-3.19,5,20190117,101000,76653.0000000,76659.0000000,76589.0000000,76622.0000000,1140
SPFB.Eu-3.19,5,20190117,101500,76612.0000000,76642.0000000,76544.0000000,76583.0000000,1043
SPFB.Eu-3.19,5,20190117,102000,76588.0000000,76636.0000000,76561.0000000,76565.0000000,2228
SPFB.Eu-3.19,5,20190117,102500,76564.0000000,76593.0000000,76549.0000000,76584.0000000,2931
SPFB.Eu-3.19,5,20190117,103000,76582.0000000,76662.0000000,76570.0000000,76648.0000000,2172
SPFB.Eu-3.19,5,20190117,103500,76644.0000000,76695.0000000,76633.0000000,76672.0000000,2258
SPFB.Eu-3.19,5,20190117,104000,76662.0000000,76673.0000000,76637.0000000,76637.0000000,545
SPFB.Eu-3.19,5,20190117,104500,76634.0000000,76689.0000000,76630.0000000,76688.0000000,1040
SPFB.Eu-3.19,5,20190117,105000,76687.0000000,76719.0000000,76675.0000000,76711.0000000,1533
SPFB.Eu-3.19,5,20190117,105500,76712.0000000,76717.0000000,76688.0000000,76697.0000000,236
SPFB.Eu-3.19,5,20190117,110000,76686.0000000,76702.0000000,76676.0000000,76697.0000000,793
SPFB.Eu-3.19,5,20190117,110500,76697.0000000,76723.0000000,76687.0000000,76718.0000000,780
SPFB.Eu-3.19,5,20190117,111000,76712.0000000,76714.0000000,76678.0000000,76696.0000000,292
SPFB.Eu-3.19,5,20190117,111500,76690.0000000,76726.0000000,76685.0000000,76703.0000000,797
SPFB.Eu-3.19,5,20190117,112000,76698.0000000,76750.0000000,76695.0000000,76735.0000000,3030
SPFB.Eu-3.19,5,20190117,112500,76747.0000000,76795.0000000,76746.0000000,76784.0000000,1387
SPFB.Eu-3.19,5,20190117,113000,76791.0000000,76791.0000000,76740.0000000,76772.0000000,1236
SPFB.Eu-3.19,5,20190117,113500,76772.0000000,76780.0000000,76742.0000000,76751.0000000,583
SPFB.Eu-3.19,5,20190117,114000,76743.0000000,76770.0000000,76742.0000000,76770.0000000,242
SPFB.Eu-3.19,5,20190117,114500,76769.0000000,76779.0000000,76744.0000000,76767.0000000,1374
SPFB.Eu-3.19,5,20190117,115000,76764.0000000,76784.0000000,76754.0000000,76781.0000000,239
SPFB.Eu-3.19,5,20190117,115500,76781.0000000,76785.0000000,76750.0000000,76752.0000000,199
SPFB.Eu-3.19,5,20190117,120000,76761.0000000,76777.0000000,76757.0000000,76766.0000000,429
SPFB.Eu-3.19,5,20190117,120500,76767.0000000,76793.0000000,76757.0000000,76789.0000000,1387
SPFB.Eu-3.19,5,20190117,121000,76790.0000000,76792.0000000,76769.0000000,76769.0000000,127
SPFB.Eu-3.19,5,20190117,121500,76774.0000000,76830.0000000,76769.0000000,76830.0000000,539
SPFB.Eu-3.19,5,20190117,122000,76831.0000000,76855.0000000,76820.0000000,76845.0000000,597
SPFB.Eu-3.19,5,20190117,122500,76853.0000000,76896.0000000,76841.0000000,76887.0000000,1085
SPFB.Eu-3.19,5,20190117,123000,76892.0000000,76910.0000000,76874.0000000,76874.0000000,1083
SPFB.Eu-3.19,5,20190117,123500,76880.0000000,76892.0000000,76866.0000000,76885.0000000,628
