<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171225	153500	59220	59234	59217	59228	16	221
SPFB.Si-3.18	5	20171225	154000	59231	59251	59231	59251	10	222
SPFB.Si-3.18	5	20171225	154500	59257	59272	59250	59250	11	223
SPFB.Si-3.18	5	20171225	155000	59257	59264	59240	59240	6	224
SPFB.Si-3.18	5	20171225	155500	59245	59253	59231	59231	64	225
SPFB.Si-3.18	5	20171225	160000	59249	59249	59249	59249	1	226
SPFB.Si-3.18	5	20171225	160500	59278	59278	59269	59269	6	227
SPFB.Si-3.18	5	20171225	161000	59270	59275	59270	59275	4	228
SPFB.Si-3.18	5	20171225	161500	59280	59287	59261	59281	23	229
SPFB.Si-3.18	5	20171225	162000	59291	59295	59258	59258	8	230
SPFB.Si-3.18	5	20171225	162500	59300	59314	59300	59306	69	231
SPFB.Si-3.18	5	20171225	163000	59304	59335	59304	59330	90	232
SPFB.Si-3.18	5	20171225	163500	59320	59320	59309	59318	17	233
SPFB.Si-3.18	5	20171225	164500	59345	59345	59345	59345	4	234
SPFB.Si-3.18	5	20171225	165000	59331	59331	59330	59330	12	235
SPFB.Si-3.18	5	20171225	165500	59327	59327	59324	59324	9	236
SPFB.Si-3.18	5	20171225	170500	59334	59362	59334	59350	11	237
SPFB.Si-3.18	5	20171225	171000	59335	59335	59334	59334	4	238
SPFB.Si-3.18	5	20171225	172000	59300	59301	59277	59277	174	239
SPFB.Si-3.18	5	20171225	172500	59277	59300	59277	59300	2	240
SPFB.Si-3.18	5	20171225	173000	59279	59299	59277	59295	9	241
SPFB.Si-3.18	5	20171225	173500	59275	59275	59261	59261	11	242
SPFB.Si-3.18	5	20171225	174000	59269	59282	59269	59282	8	243
SPFB.Si-3.18	5	20171225	174500	59319	59325	59319	59325	2	244
SPFB.Si-3.18	5	20171225	175000	59323	59327	59320	59320	30	245
SPFB.Si-3.18	5	20171225	175500	59315	59315	59315	59315	10	246
SPFB.Si-3.18	5	20171225	180000	59297	59297	59296	59296	8	247
SPFB.Si-3.18	5	20171225	180500	59290	59290	59290	59290	1	248
SPFB.Si-3.18	5	20171225	181000	59310	59313	59301	59313	23	249
SPFB.Si-3.18	5	20171225	181500	59316	59330	59316	59330	5	250
SPFB.Si-3.18	5	20171225	182500	59332	59350	59324	59350	25	251
SPFB.Si-3.18	5	20171225	183000	59350	59350	59350	59350	8	252
SPFB.Si-3.18	5	20171225	184000	59321	59330	59321	59330	3	253
SPFB.Si-3.18	5	20171225	190500	59311	59311	59311	59311	1	254
SPFB.Si-3.18	5	20171225	191000	59346	59346	59346	59346	1	255
SPFB.Si-3.18	5	20171225	193000	59320	59320	59320	59320	1	256
SPFB.Si-3.18	5	20171225	194000	59324	59324	59324	59324	3	257
SPFB.Si-3.18	5	20171225	200500	59354	59360	59354	59355	7	258
SPFB.Si-3.18	5	20171225	201000	59349	59349	59325	59325	37	259
SPFB.Si-3.18	5	20171225	203500	59348	59350	59348	59350	5	260
SPFB.Si-3.18	5	20171225	204000	59326	59326	59325	59325	2	261
SPFB.Si-3.18	5	20171225	215000	59338	59338	59335	59335	5	262
SPFB.Si-3.18	5	20171225	215500	59332	59332	59332	59332	3	263
SPFB.Si-3.18	5	20171225	220000	59335	59335	59335	59335	22	264
SPFB.Si-3.18	5	20171225	220500	59335	59335	59322	59322	21	265
SPFB.Si-3.18	5	20171225	221500	59336	59337	59336	59337	16	266
SPFB.Si-3.18	5	20171225	224500	59335	59336	59335	59336	16	267
SPFB.Si-3.18	5	20171225	225000	59343	59343	59343	59343	158	268
SPFB.Si-3.18	5	20171225	225500	59343	59343	59340	59340	114	269
SPFB.Si-3.18	5	20171225	230000	59343	59344	59343	59344	36	270
SPFB.Si-3.18	5	20171225	233500	59344	59352	59344	59352	9	271
SPFB.Si-3.18	5	20171225	234500	59317	59317	59316	59316	2	272
SPFB.Si-3.18	5	20171226	100500	59355	59528	59330	59330	357	273
SPFB.Si-3.18	5	20171226	101000	59316	59316	59300	59310	55	274
